,Host_Id,Neighbourhood,Property_Type,Room_Type,Zipcode,
1,500,Manhattan,Apartment,Entire home/apt,10024,
2,500,Manhattan,Apartment,Private room,10036,
3,1039,Brooklyn,Apartment,Entire home/apt,11222,
4,1783,Manhattan,Apartment,Entire home/apt,10004,
5,2078,Brooklyn,Apartment,Private room,11201,
6,2339,Manhattan,Apartment,Entire home/apt,10009,
7,2339,Manhattan,Apartment,Entire home/apt,10009,
8,2571,Brooklyn,Apartment,Entire home/apt,11221,
9,2758,Manhattan,Apartment,Private room,10026,
10,2758,Manhattan,Apartment,Private room,10026,
11,2787,Brooklyn,House,Private room,11223,
12,2845,Manhattan,Apartment,Entire home/apt,10018,
13,2881,Brooklyn,Apartment,Private room,11216,
14,2965,Manhattan,Apartment,Private room,10025,
15,3211,Queens,Apartment,Private room,11106,
16,3227,Manhattan,Apartment,Entire home/apt,10001,
17,3226,Manhattan,Apartment,Entire home/apt,10013,
18,3226,Manhattan,Apartment,Private room,10013,
19,3226,Manhattan,Apartment,Private room,10013,
20,3415,Queens,House,Private room,11365,
21,3563,Brooklyn,Apartment,Private room,11220,
22,3647,Queens,Apartment,Entire home/apt,11373,
23,3647,Queens,Apartment,Entire home/apt,11373,
24,3647,Queens,Apartment,Entire home/apt,11373,
25,3867,Manhattan,Apartment,Entire home/apt,10002,
26,3867,Manhattan,Apartment,Entire home/apt,10038,
27,3867,Manhattan,Apartment,Private room,10038,
28,3867,Manhattan,Apartment,Shared room,10038,
29,3867,Manhattan,Apartment,Shared room,10038,
30,4177,Brooklyn,Apartment,Private room,11206,
31,4267,Manhattan,Apartment,Entire home/apt,10024,
32,4267,Manhattan,Apartment,Private room,10024,
33,4396,Manhattan,Apartment,Private room,10009,
34,4488,Manhattan,Apartment,Entire home/apt,10027,
35,4732,Brooklyn,Apartment,Entire home/apt,11217,
36,4869,Brooklyn,Other,Private room,11238,
37,5871,Brooklyn,Apartment,Entire home/apt,11213,
38,5871,Brooklyn,Apartment,Entire home/apt,11213,
39,5926,Manhattan,Apartment,Entire home/apt,10026,
40,5926,Manhattan,Apartment,Entire home/apt,10027,
41,5926,Manhattan,Apartment,Entire home/apt,10030,
42,5940,Queens,Apartment,Entire home/apt,11368,
43,5926,Manhattan,Apartment,Private room,10027,
44,5926,Manhattan,Apartment,Private room,10027,
45,5926,Manhattan,Apartment,Private room,10027,
46,5926,Manhattan,Apartment,Private room,10031,
47,5926,Manhattan,Apartment,Private room,10031,
48,5926,Manhattan,Bed & Breakfast,Private room,10031,
49,6041,Queens,Apartment,Private room,11105,
50,7118,Manhattan,Apartment,Entire home/apt,10036,
51,7222,Manhattan,Apartment,Entire home/apt,10003,
52,7209,Manhattan,Apartment,Entire home/apt,10016,
53,7230,Manhattan,Apartment,Entire home/apt,10128,
