,Zipcode,Beds,Number_Of_Reviews
1,10024,3,0
2,10036,3,39
3,11222,1,4
4,10004,1,9
5,11201,1,80
6,10009,2,95
7,10009,2,23
8,11221,2,14
9,10026,2,120
10,10026,2,81
11,11223,1,0
12,10018,1,17
13,11216,1,32
14,10025,1,52
15,11106,1,3
16,10001,3,171
17,10013,3,0
18,10013,1,9
19,10013,1,0
20,11365,1,0
21,11220,1,1
22,11373,1,4
23,11373,1,16
24,11373,2,9
25,10002,1,19
26,10038,4,2
27,10038,4,0
28,10038,1,0
29,10038,1,0
30,11206,1,16
31,10024,2,28
32,10024,1,62
33,10009,1,23
34,10027,3,6
35,11217,1,5
36,11238,3,14
37,11213,3,12
38,11213,3,5
39,10026,1,23
40,10027,2,28
41,10030,5,40
42,11368,2,47
43,10027,1,9
44,10027,1,13
45,10027,1,14
46,10031,1,35
47,10031,2,34
48,10031,1,68
49,11105,1,4
50,10036,1,14
51,10003,2,42
52,10016,1,9
53,10128,2,7
54,11238,1,13
55,10005,1,16
56,10016,1,47
57,11215,2,3
58,11215,2,0
59,11215,1,2
60,10009,2,3
61,10016,1,42
62,11216,1,41
63,11216,1,52
64,11217,3,15
65,11217,3,21
66,11217,3,6
67,10002,1,1
68,10010,1,8
69,10010,3,10
70,10010,2,1
71,10010,2,29
72,10011,2,29
73,10002,1,112
74,10002,1,4
75,10002,1,25
76,10002,1,132
77,10002,1,17
78,11211,1,51
79,10002,1,156
80,10023,1,29
81,10025,1,30
82,10024,1,98
83,11238,1,4
84,11222,1,1
85,10025,1,24
86,10036,1,74
87,10002,2,20
88,10003,3,32
89,10014,3,32
90,10009,2,5
91,11215,1,188
92,11215,3,221
93,11217,1,39
94,10014,1,57
95,11218,1,0
96,11218,1,4
97,10014,1,1
98,10035,2,11
99,10003,6,4
100,10027,1,3
101,10019,1,242
102,11215,3,67
103,11215,2,95
104,11215,2,118
105,11211,2,60
106,11358,1,0
107,11249,2,132
108,11249,2,136
109,11211,2,14
110,11217,2,2
111,11213,1,0
112,11237,1,0
113,11215,1,119
114,11220,1,79
115,11220,1,21
116,11231,2,68
117,11231,2,106
118,11372,1,0
119,11211,1,43
120,11211,1,91
121,10451,3,105
122,10451,3,96
123,10025,1,74
124,10025,1,141
125,11205,1,5
126,10002,1,146
127,10009,3,63
128,10009,1,13
129,10128,2,58
130,10019,1,7
131,10025,3,12
132,11201,3,4
133,11231,2,18
134,11231,1,21
135,11216,3,8
136,10023,1,2
137,10031,3,13
138,11205,1,1
139,10304,2,7
140,10031,1,20
141,11215,3,0
142,11211,1,8
143,10029,2,150
144,10029,2,41
145,10024,2,4
146,10016,1,5
147,11205,2,80
148,11205,1,32
149,10002,1,17
150,11218,3,1
151,10009,3,4
152,10002,2,38
153,10031,1,0
154,11215,2,0
155,10003,3,55
156,10003,1,89
157,10003,2,5
158,10031,1,0
159,11215,2,9
160,10012,1,14
161,10035,1,8
162,10013,1,52
163,11206,1,46
164,11225,1,12
165,10024,2,9
166,11222,1,11
167,10002,1,55
168,11221,5,9
169,10003,1,8
170,10028,1,17
171,11211,4,6
172,11225,1,0
173,11217,10,77
174,11217,1,39
175,11217,2,13
176,11217,2,3
177,11217,2,17
178,11215,1,18
179,11215,2,3
180,11221,1,2
181,10281,1,48
182,11249,1,16
183,11238,2,6
184,11206,1,0
185,11222,1,2
186,10002,1,15
187,10009,1,80
188,10009,4,9
189,11233,2,0
190,11216,4,23
191,11216,4,36
192,10025,1,4
193,10003,1,30
194,10003,1,14
195,10003,1,3
196,11211,1,20
197,11222,2,1
198,10039,1,69
199,10018,2,6
200,10024,2,38
201,10024,2,26
202,10024,1,9
203,10030,1,73
204,11211,1,0
205,10033,1,0
206,11434,2,24
207,11434,2,11
208,11434,1,43
209,11434,2,47
210,11434,2,58
211,11434,2,53
212,11434,2,57
213,11249,3,23
214,11222,1,2
215,10280,2,0
216,10018,1,2
217,10009,1,165
218,10002,2,4
219,10002,1,9
220,11215,2,3
221,11233,2,92
222,11233,1,79
223,11233,1,87
224,11233,1,92
225,11233,1,98
226,11233,1,81
227,11233,1,108
228,10019,1,40
229,11238,1,2
230,10025,1,1
231,10027,1,12
232,10003,1,7
233,11222,1,50
234,11222,1,127
235,11222,1,88
236,10009,1,83
237,10009,4,29
238,10009,4,83
239,10009,4,63
240,10009,2,73
241,10031,2,184
242,10031,1,179
243,10019,1,17
244,10019,1,79
245,11216,1,1
246,11221,1,43
247,11222,1,22
248,10002,1,42
249,10009,1,32
250,10009,1,20
251,10009,1,10
252,10009,1,43
253,10009,2,48
254,10009,1,35
255,10009,1,7
256,11205,1,31
257,11211,1,21
258,10003,1,20
259,10075,2,0
260,10021,2,31
261,10029,2,1
262,10029,3,48
263,10065,2,46
264,10036,1,9
265,10027,1,26
266,11238,2,52
267,11238,1,82
268,11210,3,26
269,11238,1,39
270,11238,2,19
271,11238,2,48
272,11233,2,1
273,10002,1,20
274,11206,2,14
275,11206,1,28
276,11231,2,8
277,11211,1,7
278,11225,4,1
279,11226,4,27
280,10011,2,17
281,11211,1,0
282,10012,1,123
283,10018,1,19
284,10029,1,23
285,11238,1,35
286,10028,2,10
287,10026,1,0
288,11205,4,2
289,10019,1,9
290,11222,2,4
291,11215,1,0
292,11222,1,0
293,11237,2,0
294,11205,1,0
295,11205,4,48
296,11215,1,247
297,10025,1,41
298,11211,2,190
299,11211,1,257
300,11211,1,217
301,11211,1,1
302,11201,1,1
303,11222,2,2
304,11215,2,7
305,11237,1,85
306,11222,1,6
307,10002,1,67
308,11216,3,103
309,11238,4,1
310,10003,1,2
311,11226,2,0
312,11434,1,2
313,11434,1,1
314,11434,1,6
315,11434,1,6
316,11434,1,1
317,11222,2,12
318,10011,2,11
319,10023,2,41
320,11238,1,2
321,11238,1,0
322,11249,1,16
323,10014,1,35
324,10304,3,40
325,10009,1,157
326,10009,1,102
327,10018,1,46
328,10013,3,29
329,11205,1,21
330,10029,1,18
331,10005,1,11
332,10005,1,3
333,10016,1,9
334,10016,1,2
335,10038,1,0
336,11216,3,125
337,10011,1,10
338,10011,1,57
339,11215,1,2
340,10075,1,24
341,10075,1,115
342,11238,2,13
343,10002,1,28
344,11374,3,0
345,11238,2,49
346,11238,2,29
347,10003,1,5
348,11101,2,97
349,11238,1,7
350,11238,1,36
