,Zipcode,Number_Of_Reviews,Price
1,10024,0,199
2,10036,39,549
3,11222,4,149
4,10004,9,250
5,11201,80,90
6,10009,95,270
7,10009,23,290
8,11221,14,170
9,10026,120,59
10,10026,81,49
11,11223,0,68
12,10018,17,285
13,11216,32,75
14,10025,52,145
15,11106,3,100
16,10001,171,150
17,10013,0,700
18,10013,9,125
19,10013,0,175
20,11365,0,90
21,11220,1,40
22,11373,4,89
23,11373,16,95
24,11373,9,99
25,10002,19,149
26,10038,2,499
27,10038,0,99
28,10038,0,99
29,10038,0,99
30,11206,16,125
31,10024,28,170
32,10024,62,120
33,10009,23,79
34,10027,6,125
35,11217,5,110
36,11238,14,89
37,11213,12,180
38,11213,5,180
39,10026,23,143
40,10027,28,230
41,10030,40,350
42,11368,47,135
43,10027,9,85
44,10027,13,85
45,10027,14,85
46,10031,35,60
47,10031,34,70
48,10031,68,55
49,11105,4,44
50,10036,14,200
51,10003,42,175
52,10016,9,250
53,10128,7,165
54,11238,13,115
55,10005,16,145
56,10016,47,200
57,11215,3,74
58,11215,0,74
59,11215,2,84
60,10009,3,125
61,10016,42,129
62,11216,41,50
63,11216,52,50
64,11217,15,185
65,11217,21,185
66,11217,6,150
67,10002,1,80
68,10010,8,190
69,10010,10,190
70,10010,1,190
71,10010,29,175
72,10011,29,190
73,10002,112,140
74,10002,4,140
75,10002,25,75
76,10002,132,45
77,10002,17,45
78,11211,51,135
79,10002,156,100
80,10023,29,145
81,10025,30,135
82,10024,98,200
83,11238,4,65
84,11222,1,165
85,10025,24,145
86,10036,74,135
87,10002,20,225
88,10003,32,250
89,10014,32,250
90,10009,5,600
91,11215,188,145
92,11215,221,149
93,11217,39,150
94,10014,57,200
95,11218,0,120
96,11218,4,150
97,10014,1,175
98,10035,11,109
99,10003,4,1990
100,10027,3,80
101,10019,242,73
102,11215,67,135
103,11215,95,89
104,11215,118,89
105,11211,60,250
106,11358,0,99
107,11249,132,250
108,11249,136,250
109,11211,14,250
110,11217,2,240
111,11213,0,115
112,11237,0,72
113,11215,119,165
114,11220,79,90
115,11220,21,105
116,11231,68,155
117,11231,106,160
118,11372,0,150
119,11211,43,89
120,11211,91,99
121,10451,105,42
122,10451,96,42
123,10025,74,132
124,10025,141,117
125,11205,5,135
126,10002,146,125
127,10009,63,200
128,10009,13,250
129,10128,58,295
130,10019,7,280
131,10025,12,150
132,11201,4,125
133,11231,18,230
134,11231,21,110
135,11216,8,159
136,10023,2,160
137,10031,13,107
138,11205,1,50
139,10304,7,69
140,10031,20,110
141,11215,0,175
142,11211,8,125
143,10029,150,95
144,10029,41,95
145,10024,4,135
146,10016,5,100
147,11205,80,200
148,11205,32,239
149,10002,17,220
150,11218,1,199
151,10009,4,399
152,10002,38,130
153,10031,0,70
154,11215,0,110
155,10003,55,160
156,10003,89,135
157,10003,5,350
158,10031,0,60
159,11215,9,375
160,10012,14,225
161,10035,8,165
162,10013,52,585
163,11206,46,40
164,11225,12,85
165,10024,9,225
166,11222,11,110
167,10002,55,125
168,11221,9,275
169,10003,8,240
170,10028,17,175
171,11211,6,130
172,11225,0,90
173,11217,77,130
174,11217,39,130
175,11217,13,130
176,11217,3,130
177,11217,17,120
178,11215,18,139
179,11215,3,260
180,11221,2,35
181,10281,48,185
182,11249,16,175
183,11238,6,150
184,11206,0,120
185,11222,2,150
186,10002,15,175
187,10009,80,133
188,10009,9,375
189,11233,0,150
190,11216,23,150
191,11216,36,150
192,10025,4,180
193,10003,30,59
194,10003,14,99
195,10003,3,99
196,11211,20,199
197,11222,1,300
198,10039,69,85
199,10018,6,375
200,10024,38,135
201,10024,26,289
202,10024,9,179
203,10030,73,60
204,11211,0,125
205,10033,0,98
206,11434,24,55
207,11434,11,68
208,11434,43,45
209,11434,47,55
210,11434,58,55
211,11434,53,55
212,11434,57,68
213,11249,23,195
214,11222,2,55
215,10280,0,300
216,10018,2,120
217,10009,165,135
218,10002,4,190
219,10002,9,95
220,11215,3,125
221,11233,92,29
222,11233,79,27
223,11233,87,39
224,11233,92,39
225,11233,98,39
226,11233,81,39
227,11233,108,35
228,10019,40,150
229,11238,2,84
230,10025,1,115
231,10027,12,60
232,10003,7,140
233,11222,50,70
234,11222,127,70
235,11222,88,70
236,10009,83,130
237,10009,29,375
238,10009,83,375
239,10009,63,375
240,10009,73,130
241,10031,184,50
242,10031,179,50
243,10019,17,192
244,10019,79,199
245,11216,1,85
246,11221,43,79
247,11222,22,142
248,10002,42,165
249,10009,32,150
250,10009,20,169
