,Host_Id,Review_Scores_Rating,
1,500,92,
2,500,96,
3,1039,100,
4,1783,100,
5,2078,94,
6,2339,90,
7,2339,96,
8,2571,98,
9,2758,93,
10,2758,91,
11,2787,92,
12,2845,97,
13,2881,95,
14,2965,99,
15,3211,93,
16,3227,85,
17,3226,92,
18,3226,86,
19,3226,92,
20,3415,92,
21,3563,100,
22,3647,93,
23,3647,94,
24,3647,100,
25,3867,93,
26,3867,80,
27,3867,92,
28,3867,92,
29,3867,92,
30,4177,94,
31,4267,88,
32,4267,92,
33,4396,89,
34,4488,97,
35,4732,92,
36,4869,85,
37,5871,93,
38,5871,95,
39,5926,82,
40,5926,89,
41,5926,86,
42,5940,86,
43,5926,87,
44,5926,91,
45,5926,92,
46,5926,81,
47,5926,82,
48,5926,86,
49,6041,100,
50,7118,87,
51,7222,95,
52,7209,100,
53,7230,96,
54,7323,88,
55,7299,95,
56,7322,86,
57,7351,80,
58,7351,92,
59,7351,100,
60,7338,100,
61,7386,92,
62,7356,90,
63,7356,93,
64,7414,82,
65,7414,85,
66,7414,76,
67,7498,80,
68,7510,89,
69,7510,80,
70,7510,80,
71,7510,80,
72,7510,93,
73,7549,94,
74,7549,95,
75,7549,97,
76,7549,95,
77,7549,95,
78,7611,95,
79,7626,86,
80,7612,91,
81,7702,94,
82,7740,94,
83,7949,100,
84,7999,100,
85,7987,94,
86,7989,97,
87,8057,89,
88,8057,78,
89,8057,85,
90,8057,100,
91,8178,90,
92,8178,92,
93,8198,93,
94,8380,98,
95,8440,92,
96,8440,95,
97,8425,100,
98,8605,91,
99,8730,100,
100,8703,100,
101,8967,85,
102,9744,97,
103,9744,96,
104,9744,92,
105,10176,96,
106,10151,92,
107,10889,93,
108,10889,94,
109,10889,98,
110,11037,100,
111,11358,92,
112,11358,92,
113,11481,91,
114,11481,90,
115,11481,88,
116,11481,88,
117,11481,94,
118,11810,92,
119,12169,94,
120,12169,93,
121,12221,81,
122,12221,87,
123,12220,88,
124,12220,90,
125,12712,92,
126,12712,91,
127,12712,87,
128,12869,92,
129,13070,83,
130,13424,100,
131,13654,85,
132,13908,66,
133,14063,100,
134,14204,100,
135,14204,98,
136,15192,84,
137,15154,80,
138,15167,98,
139,15261,80,
140,15523,97,
141,15742,83,
142,15964,92,
143,16851,93,
144,16800,96,
145,16800,95,
146,16883,91,
147,17296,96,
148,17571,95,
149,17571,97,
150,17655,97,
151,17930,100,
152,17798,100,
153,17985,86,
154,18118,92,
155,18229,92,
156,18174,92,
157,18374,96,
158,18611,96,
159,18642,92,
160,18729,98,
161,19031,81,
162,19852,97,
163,19969,96,
164,20149,96,
165,20805,100,
166,21286,97,
167,21306,96,
168,21475,96,
169,21823,98,
170,21904,93,
171,22220,91,
172,22486,76,
173,22486,92,
174,22486,91,
175,22486,89,
176,22486,86,
177,22486,100,
178,22486,93,
179,23048,94,
180,23276,100,
181,23193,100,
182,23435,96,
183,23577,99,
184,23727,97,
185,23633,92,
186,23856,100,
187,23843,96,
188,24000,91,
189,24222,96,
190,24901,92,
191,25183,91,
